"speaker","listener","dialogue","Narrative_lower","Narrative_noNumbers","Narrative_noStopWords","Narrative_noPunctuation","Narrative_noTypos","Narrative_noSpaces","Narrative_Stem","Narrative_Lemma"
"Slughorn","Blaise","Twice. Once when I was twenty-four. Once when I was fifty-seven. Two tablespoons taken at breakfast. Two perfect days?","twice. once when i was twenty-four. once when i was fifty-seven. two tablespoons taken at breakfast. two perfect days?","twice. once when i was twenty-four. once when i was fifty-seven. two tablespoons taken at breakfast. two perfect days?","twice.     twenty-four.     fifty-seven. two tablespoons taken  breakfast. two perfect days?","twice     twentyfour     fiftyseven two tablespoons taken  breakfast two perfect days","twice     twentyfour     fiftyseven two tablespoons taken  breakfast two perfect days","twice twentyfour fiftyseven two tablespoons taken breakfast two perfect days","twice twentyfour fiftyseven two tablespoon taken breakfast two perfect dai","twice twentyfour fiftyseven two tablespoon take breakfast two perfect day"
"Slughorn","Students","So. This is what I offer each of you today. One tiny vial of liquid luck... to the student who, in the hour that remains, manages to brew an acceptable Draught of Living Death, the recipe for which can be found on page ten of your textbook.","so. this is what i offer each of you today. one tiny vial of liquid luck... to the student who, in the hour that remains, manages to brew an acceptable draught of living death, the recipe for which can be found on page ten of your textbook.","so. this is what i offer each of you today. one tiny vial of liquid luck... to the student who, in the hour that remains, manages to brew an acceptable draught of living death, the recipe for which can be found on page ten of your textbook.",".     offer    today. one tiny vial  liquid luck...   student ,   hour  remains, manages  brew  acceptable draught  living death,  recipe   can  found  page ten   textbook.","     offer    today one tiny vial  liquid luck   student    hour  remains manages  brew  acceptable draught  living death  recipe   can  found  page ten   textbook","     offer    today one tiny vial  liquid luck   student    hour  remains manages  brew  acceptable draught  living death  recipe   can  found  page ten   textbook"," offer today one tiny vial liquid luck student hour remains manages brew acceptable draught living death recipe can found page ten textbook","offer todai on tini vial liquid luck student hour remain manag brew accept draught live death recip can found page ten textbook","offer today one tiny vial liquid luck student hour remain manage brew acceptable draught live death recipe can find page ten textbook"
"Slughorn","Students","You should know that in all the years of my previous tenure at Hogwarts, not once did a student brew a potion of sufficient quality to claim this prize. In any event -- good luck.","you should know that in all the years of my previous tenure at hogwarts, not once did a student brew a potion of sufficient quality to claim this prize. in any event -- good luck.","you should know that in all the years of my previous tenure at hogwarts, not once did a student brew a potion of sufficient quality to claim this prize. in any event -- good luck.","  know     years   previous tenure  hogwarts,     student brew  potion  sufficient quality  claim  prize.   event -- good luck.","  know     years   previous tenure  hogwarts     student brew  potion  sufficient quality  claim  prize   event  good luck","  know     years   previous tenure  hogwarts     student brew  potion  sufficient quality  claim  prize   event  good luck"," know years previous tenure hogwarts student brew potion sufficient quality claim prize event good luck","know year previou tenur hogwart student brew potion suffici qualiti claim prize event good luck","know year previous tenure hogwarts student brew potion sufficient quality claim prize event good luck"
"Hermione","Harry","How did you do that?","how did you do that?","how did you do that?","    ?","    ","    "," ","",""
"Harry","Hermione","Crush it. Don?t cut it.","crush it. don?t cut it.","crush it. don?t cut it.","crush . don?t cut .","crush  dont cut ","crush  dont cut ","crush dont cut ","crush dont cut","crush do cut"
"Hermione","Harry","No. The instructions specifically say to cut.","no. the instructions specifically say to cut.","no. the instructions specifically say to cut.",".  instructions specifically say  cut.","  instructions specifically say  cut","  instructions specifically say  cut"," instructions specifically say cut","instruct specif sai cut","instruction specifically say cut"
"Harry","Hermione","No. Really --","no. really --","no. really --",". really --"," really "," really "," really ","realli","really"
"Hermione","Harry","Sh!","sh!","sh!","sh!","sh","sh","sh","sh","sh"
"Slughorn","Harry","Merlin?s Beard! But it?s perfect.
So perfect I daresay one sip would
kill us all! Your mother was a
dab hand at potions, but this...
My, my, what can?t you do, m?boy?
Perhaps you will save us all in
the end?","merlin?s beard! but it?s perfect.
so perfect i daresay one sip would
kill us all! your mother was a
dab hand at potions, but this...
my, my, what can?t you do, m?boy?
perhaps you will save us all in
the end?","merlin?s beard! but it?s perfect.
so perfect i daresay one sip would
kill us all! your mother was a
dab hand at potions, but this...
my, my, what can?t you do, m?boy?
perhaps you will save us all in
the end?","merlin?s beard!  ?s perfect.
 perfect  daresay one sip 
kill us !  mother  
dab hand  potions,  ...
, ,  can?t  , m?boy?
perhaps  will save us  
 end?","merlins beard  s perfect
 perfect  daresay one sip 
kill us   mother  
dab hand  potions  
   cant   mboy
perhaps  will save us  
 end","merlins beard  s perfect
 perfect  daresay one sip 
kill us   mother  
dab hand  potions  
   cant   mboy
perhaps  will save us  
 end","merlins beard s perfect perfect daresay one sip kill us mother dab hand potions cant mboy perhaps will save us end","merlin beard  perfect perfect daresai on sip kill u mother dab hand potion cant mboi perhap will save u end","merlin beard s perfect perfect daresay one sip kill us mother dab hand potion cant mboy perhaps will save us end"
"Slughorn","Harry","Here you are then, as promised.
One bottle of Felix Felicis. Use
it well.","here you are then, as promised.
one bottle of felix felicis. use
it well.","here you are then, as promised.
one bottle of felix felicis. use
it well.","   ,  promised.
one bottle  felix felicis. use
 well.","     promised
one bottle  felix felicis use
 well","     promised
one bottle  felix felicis use
 well"," promised one bottle felix felicis use well","promis on bottl felix felici us well","promise one bottle felix felicis use good"
"Dumbledore","Harry","Good evening, Harry. You got my
message, I see. Come, come. Sit.","good evening, harry. you got my
message, i see. come, come. sit.","good evening, harry. you got my
message, i see. come, come. sit.","good evening, harry.  got 
message,  see. come, come. sit.","good evening harry  got 
message  see come come sit","good evening harry  got 
message  see come come sit","good evening harry got message see come come sit","good even harri got messag see come come sit","good even harry get message see come come sit"
